,train,val,test
slide_13,True,False,False
slide_110,True,False,False
slide_112,True,False,False
slide_113,True,False,False
slide_114,True,False,False
slide_116,True,False,False
slide_117,True,False,False
slide_118,True,False,False
slide_119,True,False,False
slide_120,True,False,False
slide_122,True,False,False
slide_123,True,False,False
slide_128,True,False,False
slide_130,True,False,False
slide_132,True,False,False
slide_133,True,False,False
slide_134,True,False,False
slide_135,True,False,False
slide_136,True,False,False
slide_137,True,False,False
slide_139,True,False,False
slide_141,True,False,False
slide_143,True,False,False
slide_144,True,False,False
slide_145,True,False,False
slide_146,True,False,False
slide_150,True,False,False
slide_151,True,False,False
slide_152,True,False,False
slide_153,True,False,False
slide_154,True,False,False
slide_160,True,False,False
slide_161,True,False,False
slide_162,True,False,False
slide_167,True,False,False
slide_168,True,False,False
slide_171,True,False,False
slide_20,True,False,False
slide_173,True,False,False
slide_174,True,False,False
slide_175,True,False,False
slide_176,True,False,False
slide_180,True,False,False
slide_21,True,False,False
slide_183,True,False,False
slide_184,True,False,False
slide_185,True,False,False
slide_186,True,False,False
slide_197,True,False,False
slide_199,True,False,False
slide_200,True,False,False
slide_202,True,False,False
slide_204,True,False,False
slide_205,True,False,False
slide_207,True,False,False
slide_208,True,False,False
slide_209,True,False,False
slide_210,True,False,False
slide_211,True,False,False
slide_212,True,False,False
slide_213,True,False,False
slide_214,True,False,False
slide_217,True,False,False
slide_3,True,False,False
slide_4,True,False,False
slide_218,True,False,False
slide_221,True,False,False
slide_224,True,False,False
slide_225,True,False,False
slide_226,True,False,False
slide_227,True,False,False
slide_228,True,False,False
slide_229,True,False,False
slide_25,True,False,False
slide_230,True,False,False
slide_231,True,False,False
slide_232,True,False,False
slide_234,True,False,False
slide_235,True,False,False
slide_236,True,False,False
slide_26,True,False,False
slide_240,True,False,False
slide_244,True,False,False
slide_247,True,False,False
slide_248,True,False,False
slide_251,True,False,False
slide_252,True,False,False
slide_27,True,False,False
slide_253,True,False,False
slide_254,True,False,False
slide_256,True,False,False
slide_257,True,False,False
slide_259,True,False,False
slide_260,True,False,False
slide_261,True,False,False
slide_28,True,False,False
slide_29,True,False,False
slide_267,True,False,False
slide_268,True,False,False
slide_270,True,False,False
slide_271,True,False,False
slide_272,True,False,False
slide_274,True,False,False
slide_275,True,False,False
slide_276,True,False,False
slide_277,True,False,False
slide_280,True,False,False
slide_285,True,False,False
slide_286,True,False,False
slide_287,True,False,False
slide_288,True,False,False
slide_289,True,False,False
slide_292,True,False,False
slide_293,True,False,False
slide_294,True,False,False
slide_297,True,False,False
slide_300,True,False,False
slide_301,True,False,False
slide_307,True,False,False
slide_308,True,False,False
slide_313,True,False,False
slide_314,True,False,False
slide_315,True,False,False
slide_316,True,False,False
slide_317,True,False,False
slide_318,True,False,False
slide_319,True,False,False
slide_323,True,False,False
slide_327,True,False,False
slide_328,True,False,False
slide_5,True,False,False
slide_329,True,False,False
slide_330,True,False,False
slide_331,True,False,False
slide_333,True,False,False
slide_334,True,False,False
slide_335,True,False,False
slide_337,True,False,False
slide_340,True,False,False
slide_341,True,False,False
slide_347,True,False,False
slide_348,True,False,False
slide_349,True,False,False
slide_350,True,False,False
slide_353,True,False,False
slide_354,True,False,False
slide_356,True,False,False
slide_358,True,False,False
slide_365,True,False,False
slide_366,True,False,False
slide_367,True,False,False
slide_368,True,False,False
slide_369,True,False,False
slide_371,True,False,False
slide_372,True,False,False
slide_373,True,False,False
slide_374,True,False,False
slide_39,True,False,False
slide_377,True,False,False
slide_380,True,False,False
slide_382,True,False,False
slide_383,True,False,False
slide_384,True,False,False
slide_385,True,False,False
slide_386,True,False,False
slide_387,True,False,False
slide_390,True,False,False
slide_393,True,False,False
slide_394,True,False,False
slide_395,True,False,False
slide_396,True,False,False
slide_397,True,False,False
slide_398,True,False,False
slide_400,True,False,False
slide_401,True,False,False
slide_402,True,False,False
slide_403,True,False,False
slide_404,True,False,False
slide_405,True,False,False
slide_409,True,False,False
slide_410,True,False,False
slide_411,True,False,False
slide_413,True,False,False
slide_416,True,False,False
slide_417,True,False,False
slide_419,True,False,False
slide_420,True,False,False
slide_421,True,False,False
slide_424,True,False,False
slide_426,True,False,False
slide_427,True,False,False
slide_44,True,False,False
slide_45,True,False,False
slide_430,True,False,False
slide_439,True,False,False
slide_6,True,False,False
slide_46,True,False,False
slide_442,True,False,False
slide_443,True,False,False
slide_446,True,False,False
slide_448,True,False,False
slide_47,True,False,False
slide_452,True,False,False
slide_455,True,False,False
slide_461,True,False,False
slide_462,True,False,False
slide_463,True,False,False
slide_464,True,False,False
slide_465,True,False,False
slide_466,True,False,False
slide_467,True,False,False
slide_468,True,False,False
slide_469,True,False,False
slide_472,True,False,False
slide_473,True,False,False
slide_49,True,False,False
slide_479,True,False,False
slide_480,True,False,False
slide_483,True,False,False
slide_50,True,False,False
slide_489,True,False,False
slide_490,True,False,False
slide_492,True,False,False
slide_497,True,False,False
slide_498,True,False,False
slide_51,True,False,False
slide_52,True,False,False
slide_53,True,False,False
slide_54,True,False,False
slide_56,True,False,False
slide_58,True,False,False
slide_59,True,False,False
slide_60,True,False,False
slide_62,True,False,False
slide_8,True,False,False
slide_68,True,False,False
slide_70,True,False,False
slide_71,True,False,False
slide_74,True,False,False
slide_75,True,False,False
slide_78,True,False,False
slide_79,True,False,False
slide_81,True,False,False
slide_82,True,False,False
slide_84,True,False,False
slide_11,True,False,False
slide_88,True,False,False
slide_89,True,False,False
slide_90,True,False,False
slide_92,True,False,False
slide_94,True,False,False
slide_95,True,False,False
slide_12,True,False,False
slide_98,True,False,False
slide_99,True,False,False
slide_100,True,False,False
slide_105,True,False,False
slide_107,True,False,False
slide_108,True,False,False
slide_0,True,False,False
slide_1,True,False,False
slide_2,True,False,False
slide_111,True,False,False
slide_115,True,False,False
slide_125,True,False,False
slide_126,True,False,False
slide_138,True,False,False
slide_140,True,False,False
slide_148,True,False,False
slide_149,True,False,False
slide_18,True,False,False
slide_19,True,False,False
slide_163,True,False,False
slide_164,True,False,False
slide_169,True,False,False
slide_170,True,False,False
slide_178,True,False,False
slide_181,True,False,False
slide_182,True,False,False
slide_187,True,False,False
slide_188,True,False,False
slide_189,True,False,False
slide_190,True,False,False
slide_191,True,False,False
slide_192,True,False,False
slide_22,True,False,False
slide_195,True,False,False
slide_196,True,False,False
slide_201,True,False,False
slide_23,True,False,False
slide_206,True,False,False
